time,row,col,demand
456,3,5,151
165,0,4,464
372,3,4,7
127,3,1,0
235,2,1,0
208,4,4,40
127,7,5,0
293,5,2,0
360,6,2,0
278,5,2,0
709,0,0,0
404,3,0,11
720,5,7,163
695,7,1,0
594,2,3,159
252,6,6,14
518,6,1,0
379,4,2,0
311,6,5,0
187,4,4,43
702,6,3,22
404,3,6,202
96,5,1,0
169,3,2,0
401,7,5,0
688,2,7,181
157,7,4,11
177,0,7,4
200,1,2,0
425,5,3,39
459,3,0,0
352,2,1,6
679,2,5,12
238,7,1,0
10,7,0,0
19,5,3,0
193,3,7,25
369,1,4,0
626,2,5,134
345,5,0,0
642,0,1,11
500,6,6,22
703,5,4,78
117,5,1,0
231,1,6,0
104,6,1,0
685,6,6,33
506,2,7,99
514,6,3,0
307,2,6,147
461,1,6,69
365,6,3,7
710,3,1,0
560,1,6,10
453,5,5,73
301,5,4,9
243,2,0,0
343,6,3,17
648,3,5,192
524,6,1,15
280,7,7,0
47,5,5,25
466,3,7,0
371,6,1,0
303,4,3,162
337,6,7,21
6,4,1,0
137,5,0,0
638,6,3,11
139,1,3,76
474,2,1,0
686,5,4,0
310,1,0,6
714,5,0,0
554,0,2,84
386,0,4,112
119,7,4,0
500,7,5,8
562,5,7,16
255,4,5,27
386,4,3,66
691,1,1,0
300,0,5,0
559,3,7,16
287,6,0,0
142,6,7,17
617,0,5,28
413,1,2,70
8,0,1,3
42,6,0,0
434,0,5,58
256,3,0,0
308,0,1,0
152,6,2,0
717,2,3,91
427,3,5,180
27,4,5,6
671,4,3,90
162,4,3,14
261,6,2,50
301,2,7,98
186,7,2,0
121,1,4,13
456,0,3,69
225,1,7,5
257,2,7,44
35,6,7,9
728,0,4,354
700,1,2,156
651,0,0,12
209,4,6,250
721,5,0,0
138,3,0,7
591,2,5,166
486,7,7,0
182,4,7,31
204,2,0,5
610,6,1,0
276,1,0,0
374,0,6,74
687,0,1,0
638,0,3,60
452,6,6,25
381,3,2,11
449,3,0,0
630,1,0,0
463,5,6,0
634,2,1,0
454,3,3,58
2,1,5,33
460,5,6,13
366,5,1,0
258,5,4,44
628,7,0,0
166,3,6,1130
452,0,6,33
14,3,6,41
661,3,7,82
163,3,6,2170
243,3,1,5
184,6,2,19
670,0,1,12
274,0,5,0
484,2,6,109
655,6,2,0
502,4,4,36
161,5,6,608
158,0,5,87
39,4,3,49
133,3,3,70
502,3,2,22
521,6,6,23
622,1,0,0
399,2,4,138
553,1,6,277
533,0,6,80
162,2,5,224
243,5,1,0
561,0,0,0
295,3,6,15
523,3,7,123
183,4,6,15
334,3,0,51
697,2,2,125
24,6,4,3
690,0,6,0
465,2,3,8
79,5,3,0
724,5,6,309
434,1,2,53
